 Implied CO2 for State Dependent Sensitivity
 Russell Sensitivity
         
 Time(MyBP)    CO2
    0.2500    238.24
    0.7500    239.42
    1.2500    245.65
    1.7500    248.81
    2.2500    254.12
    2.7500    267.41
    3.2500    284.81
    3.7500    296.23
    4.2500    306.79
    4.7500    296.35
    5.2500    330.81
    5.7500    322.36
    6.2500    328.68
    6.7500    333.57
    7.2500    333.01
    7.7500    336.26
    8.2500    330.42
    8.7500    335.13
    9.2500    336.20
    9.7500    339.83
   10.2500    342.30
   10.7500    345.96
   11.2500    346.49
   11.7500    349.00
   12.2500    352.44
   12.7500    353.92
   13.2500    363.62
   13.7500    366.20
   14.2500    382.19
   14.7500    394.29
   15.2500    396.41
   15.7500    388.79
   16.2500    387.04
   16.7500    381.81
   17.2500    365.72
   17.7500    367.11
   18.2500    370.85
   18.7500    366.87
   19.2500    361.90
   19.7500    372.22
   20.2500    379.04
   20.7500    373.96
   21.2500    375.26
   21.7500    388.34
   22.2500    380.84
   22.7500    371.13
   23.2500    374.77
   23.7500    381.14
   24.2500    396.28
   24.7500    396.89
   25.2500    392.74
   25.7500    385.50
   26.2500    386.07
   26.7500    376.28
   27.2500    368.87
   27.7500    367.07
   28.2500    371.57
   28.7500    373.68
   29.2500    373.67
   29.7500    383.05
   30.2500    377.66
   30.7500    370.90
   31.2500    381.01
   31.7500    381.62
   32.2500    379.91
   32.7500    375.93
   33.2500    366.37
   33.7500    395.67
   34.2500    411.85
   34.7500    412.81
   35.2500    414.61
   35.7500    395.05
   36.2500    416.50
   36.7500    418.01
   37.2500    425.56
   37.7500    449.76
   38.2500    458.48
   38.7500    466.76
   39.2500    493.81
   39.7500    505.10
   40.2500    531.05
   40.7500    503.83
   41.2500    538.28
   41.7500    568.83
   42.2500    516.54
   42.7500    551.32
   43.2500    565.40
   43.7500    560.26
   44.2500    541.32
   44.7500    551.74
   45.2500    581.24
   45.7500    611.33
   46.2500    652.99
   46.7500    670.71
   47.2500    727.32
   47.7500    746.49
   48.2500    758.50
   48.7500    822.99
   49.2500    796.52
   49.7500    829.42
   50.2500    860.58
   50.7500    902.60
   51.2500    915.35
   51.7500    839.35
   52.2500    850.50
   52.7500    860.20
   53.2500    818.56
   53.7500    756.49
   54.2500    773.75
   54.7500    828.54
   55.2500    739.77
   55.7500    716.34
   56.2500    696.16
   56.7500    657.18
   57.2500    632.51
   57.7500    620.11
   58.2500    590.72
   58.7500    585.07
   59.2500    635.02
   59.7500    637.59
   60.2500    688.61
   60.7500    686.97
   61.2500    675.91
   61.7500    682.45
   62.2500    674.75
   62.7500    630.56
   63.2500    607.85
   63.7500    683.76
   64.2500    669.65
   64.7500    689.03
   65.2500    623.10
