Greenhous Gas Concentrations and Forcing
   Age     CO2       CH4       Fghgs
   0.0    310.93    867.07     0.474
   0.2    285.59    712.23     0.458
   0.4    285.59    667.41     0.410
   0.6    285.59    670.96     0.414
   0.8    285.59    657.07     0.399
   1.0    285.59    636.73     0.377
   1.2    285.59    638.84     0.379
   1.4    285.59    638.06     0.378
   1.6    285.59    623.94     0.363
   1.8    285.59    615.61     0.353
   2.0    285.59    602.74     0.339
   2.2    285.59    601.12     0.337
   2.4    285.59    591.87     0.326
   2.6    285.59    590.17     0.324
   2.8    283.60    580.29     0.268
   3.0    281.61    577.18     0.219
   3.2    279.63    577.09     0.173
   3.4    277.64    578.84     0.130
   3.6    275.65    575.62     0.079
   3.8    273.67    575.98     0.034
   4.0    270.61    571.04    -0.044
   4.2    267.95    576.63    -0.101
   4.4    267.48    573.03    -0.116
   4.6    267.02    566.36    -0.135
   4.8    266.57    569.14    -0.143
   5.0    266.12    562.21    -0.162
   5.2    265.67    562.51    -0.172
   5.4    265.22    571.17    -0.173
   5.6    264.76    579.23    -0.175
   5.8    264.31    578.57    -0.186
   6.0    263.86    585.29    -0.190
   6.2    263.41    589.01    -0.196
   6.4    262.96    594.95    -0.200
   6.6    262.50    602.48    -0.203
   6.8    261.74    612.45    -0.210
   7.0    260.40    615.27    -0.240
   7.2    259.05    616.50    -0.271
   7.4    257.70    617.74    -0.303
   7.6    256.35    619.29    -0.335
   7.8    255.02    612.07    -0.377
   8.0    255.31    629.14    -0.350
   8.2    256.60    648.42    -0.297
   8.4    257.88    656.86    -0.256
   8.6    259.14    663.56    -0.217
   8.8    259.77    665.14    -0.200
   9.0    260.04    664.30    -0.194
   9.2    260.31    667.20    -0.185
   9.4    260.58    675.75    -0.169
   9.6    260.84    685.97    -0.151
   9.8    261.11    676.34    -0.155
  10.0    261.38    695.43    -0.128
  10.2    261.70    689.18    -0.127
  10.4    262.20    671.27    -0.134
  10.6    262.71    668.99    -0.124
  10.8    263.23    683.64    -0.096
  11.0    262.19    672.96    -0.132
  11.2    254.38    656.65    -0.343
  11.4    246.20    515.48    -0.715
  11.6    242.28    478.41    -0.863
  11.8    239.46    472.54    -0.945
  12.0    238.13    471.23    -0.982
  12.2    237.85    506.27    -0.945
  12.4    237.56    589.46    -0.853
  12.6    237.28    633.88    -0.811
  12.8    236.99    645.98    -0.805
  13.0    236.71    664.24    -0.793
  13.2    236.42    647.43    -0.818
  13.4    235.34    624.33    -0.873
  13.6    232.09    619.40    -0.967
  13.8    228.73    605.46    -1.075
  14.0    225.56    569.09    -1.205
  14.2    223.84    498.19    -1.339
  14.4    222.41    469.87    -1.416
  14.6    220.98    464.19    -1.464
  14.8    219.55    465.25    -1.503
  15.0    218.12    472.63    -1.535
  15.2    216.69    459.07    -1.594
  15.4    215.26    449.67    -1.648
  15.6    213.83    449.99    -1.689
  15.8    212.40    448.24    -1.734
  16.0    210.97    437.26    -1.791
  16.2    209.54    422.95    -1.853
  16.4    208.11    410.11    -1.914
  16.6    206.68    406.58    -1.962
  16.8    205.25    398.72    -2.016
  17.0    203.82    390.46    -2.072
  17.2    202.39    379.74    -2.131
  17.4    200.96    373.17    -2.185
  17.6    199.53    376.94    -2.224
  17.8    198.10    370.51    -2.279
  18.0    196.67    372.70    -2.321
  18.2    195.24    374.48    -2.364
  18.4    193.81    372.70    -2.412
  18.6    192.38    371.83    -2.460
  18.8    190.95    372.90    -2.505
  19.0    189.52    375.36    -2.548
  19.2    188.09    369.25    -2.604
  19.4    186.66    364.50    -2.658
  19.6    185.23    364.31    -2.707
  19.8    183.80    360.18    -2.761
  20.0    182.51    373.36    -2.785
  20.2    182.64    377.20    -2.775
  20.4    183.14    379.37    -2.755
  20.6    183.64    373.09    -2.747
  20.8    184.14    373.23    -2.730
  21.0    184.64    362.97    -2.728
  21.2    185.14    355.38    -2.723
  21.4    185.64    356.06    -2.705
  21.6    186.14    357.12    -2.687
  21.8    186.63    356.96    -2.671
  22.0    187.13    357.81    -2.653
  22.2    187.63    370.52    -2.617
  22.4    188.13    384.73    -2.580
  22.6    188.63    398.93    -2.543
  22.8    189.11    396.65    -2.531
  23.0    189.33    387.05    -2.537
  23.2    189.48    389.83    -2.528
  23.4    189.63    389.70    -2.523
  23.6    189.79    388.20    -2.520
  23.8    189.94    391.24    -2.511
  24.0    190.09    384.95    -2.515
  24.2    190.24    366.96    -2.536
  24.4    190.39    365.92    -2.533
  24.6    190.54    379.29    -2.509
  24.8    190.70    382.32    -2.499
  25.0    190.85    372.11    -2.509
  25.2    191.00    370.59    -2.506
  25.4    191.15    368.45    -2.505
  25.6    191.30    364.30    -2.506
  25.8    191.45    357.51    -2.511
  26.0    191.55    364.55    -2.497
  26.2    191.39    374.68    -2.488
  26.4    191.19    384.71    -2.480
  26.6    190.99    393.76    -2.473
  26.8    190.79    390.83    -2.484
  27.0    190.58    386.67    -2.497
  27.2    190.38    390.85    -2.497
  27.4    190.18    399.93    -2.491
  27.6    189.98    416.92    -2.474
  27.8    189.78    401.62    -2.502
  28.0    189.57    389.35    -2.526
  28.2    189.37    400.31    -2.517
  28.4    189.17    408.52    -2.512
  28.6    188.97    425.20    -2.496
  28.8    188.77    434.82    -2.489
  29.0    188.58    403.75    -2.538
  29.2    188.96    378.43    -2.562
  29.4    189.63    372.79    -2.548
  29.6    190.29    384.84    -2.509
  29.8    190.96    393.95    -2.474
  30.0    191.62    397.34    -2.448
  30.2    192.19    394.75    -2.433
  30.4    192.74    401.67    -2.405
  30.6    193.28    408.27    -2.378
  30.8    193.83    404.75    -2.366
  31.0    194.37    395.04    -2.362
  31.2    194.92    404.03    -2.332
  31.4    195.46    411.96    -2.303
  31.6    196.01    420.08    -2.275
  31.8    196.55    428.52    -2.246
  32.0    197.10    450.94    -2.198
  32.2    197.64    451.95    -2.180
  32.4    198.19    426.76    -2.196
  32.6    198.73    407.79    -2.206
  32.8    199.28    413.42    -2.181
  33.0    199.82    427.98    -2.144
  33.2    200.37    441.97    -2.108
  33.4    200.91    455.17    -2.073
  33.6    201.46    470.72    -2.036
  33.8    202.01    423.81    -2.081
  34.0    202.55    421.82    -2.067
  34.2    203.10    429.58    -2.040
  34.4    203.64    434.57    -2.016
  34.6    204.19    466.75    -1.957
  34.8    204.73    506.13    -1.890
  35.0    205.25    513.74    -1.865
  35.2    205.60    490.57    -1.883
  35.4    205.90    425.72    -1.959
  35.6    206.21    434.80    -1.937
  35.8    206.52    429.64    -1.935
  36.0    206.83    440.64    -1.911
  36.2    207.14    455.15    -1.882
  36.4    207.45    475.92    -1.846
  36.6    207.76    514.27    -1.788
  36.8    208.07    529.46    -1.760
  37.0    208.37    545.82    -1.731
  37.2    208.68    562.40    -1.702
  37.4    208.99    570.34    -1.683
  37.6    209.10    548.01    -1.706
  37.8    209.10    531.45    -1.726
  38.0    209.10    507.31    -1.756
  38.2    209.10    463.25    -1.812
  38.4    209.10    441.34    -1.841
  38.6    209.10    447.26    -1.833
  38.8    209.10    452.52    -1.826
  39.0    209.10    444.43    -1.837
  39.2    209.10    448.04    -1.832
  39.4    209.10    441.03    -1.842
  39.6    209.10    427.07    -1.861
  39.8    209.10    416.59    -1.875
  40.0    209.10    420.49    -1.870
  40.2    209.10    441.80    -1.841
  40.4    209.10    427.37    -1.860
  40.6    209.10    416.47    -1.875
  40.8    209.10    427.35    -1.860
  41.0    209.10    428.61    -1.859
  41.2    209.10    450.26    -1.829
  41.4    209.10    465.47    -1.809
  41.6    209.10    461.53    -1.815
  41.8    209.10    437.24    -1.847
  42.0    209.10    421.94    -1.868
  42.2    209.10    416.90    -1.875
  42.4    209.10    436.28    -1.848
  42.6    209.10    450.73    -1.829
  42.8    209.10    463.63    -1.812
  43.0    209.10    480.75    -1.790
  43.2    209.10    474.84    -1.797
  43.4    209.10    448.00    -1.832
  43.6    208.58    417.86    -1.889
  43.8    207.55    412.55    -1.927
  44.0    206.52    420.16    -1.948
  44.2    205.49    429.33    -1.967
  44.4    204.45    431.29    -1.996
  44.6    203.42    457.05    -1.993
  44.8    202.39    465.88    -2.013
  45.0    201.35    465.65    -2.046
  45.2    200.32    483.26    -2.055
  45.4    199.29    472.18    -2.102
  45.6    198.26    480.01    -2.124
  45.8    197.23    493.94    -2.139
  46.0    196.19    498.65    -2.166
  46.2    195.16    500.10    -2.197
  46.4    194.13    508.97    -2.219
  46.6    193.10    497.91    -2.266
  46.8    192.06    480.13    -2.322
  47.0    191.03    443.20    -2.404
  47.2    190.00    436.28    -2.447
  47.4    189.28    429.57    -2.479
  47.6    189.14    432.44    -2.480
  47.8    189.02    444.15    -2.468
  48.0    188.91    442.83    -2.474
  48.2    188.79    418.02    -2.511
  48.4    188.67    423.45    -2.508
  48.6    188.55    431.85    -2.500
  48.8    188.57    447.31    -2.479
  49.0    192.19    461.42    -2.342
  49.2    197.39    462.86    -2.174
  49.4    202.58    445.23    -2.035
  49.6    207.77    442.50    -1.880
  49.8    210.74    471.11    -1.753
  50.0    211.89    483.63    -1.703
  50.2    213.04    473.48    -1.682
  50.4    214.19    485.38    -1.633
  50.6    215.27    493.05    -1.591
  50.8    213.68    503.21    -1.625
  51.0    210.74    511.83    -1.702
  51.2    207.80    521.16    -1.778
  51.4    204.85    538.04    -1.847
  51.6    201.91    522.91    -1.956
  51.8    198.96    526.44    -2.044
  52.0    196.02    528.78    -2.134
  52.2    193.08    540.79    -2.214
  52.4    190.88    558.03    -2.264
  52.6    191.85    539.67    -2.255
  52.8    193.18    530.91    -2.222
  53.0    194.51    530.66    -2.180
  53.2    195.84    532.07    -2.135
  53.4    197.17    513.70    -2.116
  53.6    198.50    464.03    -2.137
  53.8    199.83    438.05    -2.130
  54.0    201.16    437.46    -2.089
  54.2    202.49    445.14    -2.037
  54.4    203.82    460.24    -1.977
  54.6    205.15    468.09    -1.926
  54.8    206.48    476.10    -1.875
  55.0    207.81    501.20    -1.803
  55.2    209.14    484.08    -1.784
  55.4    210.47    462.63    -1.772
  55.6    211.80    475.34    -1.716
  55.8    213.13    503.91    -1.640
  56.0    214.46    506.91    -1.598
  56.2    215.79    531.64    -1.528
  56.4    217.12    547.17    -1.471
  56.6    218.46    548.73    -1.430
  56.8    219.79    547.99    -1.393
  57.0    221.11    549.26    -1.354
  57.2    219.47    543.02    -1.408
  57.4    215.50    527.85    -1.541
  57.6    211.61    516.88    -1.669
  57.8    209.99    531.84    -1.699
  58.0    209.40    556.58    -1.687
  58.2    208.82    543.11    -1.721
  58.4    208.24    509.55    -1.779
  58.6    207.66    514.96    -1.790
  58.8    207.08    474.78    -1.858
  59.0    206.50    445.89    -1.914
  59.2    205.92    438.57    -1.941
  59.4    205.34    433.16    -1.966
  59.6    204.76    427.84    -1.991
  59.8    204.18    438.04    -1.995
  60.0    203.60    431.33    -2.022
  60.2    203.02    428.29    -2.044
  60.4    202.44    428.58    -2.061
  60.6    201.86    422.54    -2.088
  60.8    201.28    422.02    -2.106
  61.0    200.70    433.05    -2.109
  61.2    200.12    431.45    -2.129
  61.4    199.53    431.16    -2.148
  61.6    198.95    431.06    -2.167
  61.8    198.37    434.70    -2.180
  62.0    197.79    436.68    -2.196
  62.2    197.21    431.86    -2.220
  62.4    196.63    437.68    -2.231
  62.6    196.05    443.46    -2.242
  62.8    195.47    444.97    -2.258
  63.0    195.04    455.09    -2.259
  63.2    194.66    467.57    -2.254
  63.4    194.29    481.02    -2.249
  63.6    193.91    486.41    -2.254
  63.8    193.54    478.95    -2.276
