Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,55500.000000,56000.000000,55000.000000,55200.000000,50578.332031,12993228
2020-01-03,56000.000000,56600.000000,54900.000000,55500.000000,50853.210938,15422255
2020-01-06,54900.000000,55600.000000,54600.000000,55500.000000,50853.210938,10278951
2020-01-07,55700.000000,56400.000000,55600.000000,55800.000000,51128.089844,10009778
2020-01-08,56200.000000,57400.000000,55900.000000,56800.000000,52044.367188,23501171
2020-01-09,58400.000000,58600.000000,57400.000000,58600.000000,53693.656250,24102579
2020-01-10,58800.000000,59700.000000,58300.000000,59500.000000,54518.308594,16000170
2020-01-13,59600.000000,60000.000000,59100.000000,60000.000000,54976.437500,11359139
2020-01-14,60400.000000,61000.000000,59900.000000,60000.000000,54976.437500,16906295
2020-01-15,59500.000000,59600.000000,58900.000000,59000.000000,54060.164063,14300928
2020-01-16,59100.000000,60700.000000,59000.000000,60700.000000,55617.832031,14381774
2020-01-17,61900.000000,62000.000000,61000.000000,61300.000000,56167.593750,16025661
2020-01-20,62000.000000,62800.000000,61700.000000,62400.000000,57175.500000,12528855
2020-01-21,62000.000000,62400.000000,61200.000000,61400.000000,56259.218750,11142693
2020-01-22,60500.000000,62600.000000,60400.000000,62300.000000,57083.875000,15339565
2020-01-23,61800.000000,61800.000000,60700.000000,60800.000000,55709.460938,14916555
2020-01-28,59400.000000,59400.000000,58300.000000,58800.000000,53876.906250,23664541
2020-01-29,59100.000000,59700.000000,58800.000000,59100.000000,54151.796875,16446102
2020-01-30,58800.000000,58800.000000,56800.000000,57200.000000,52410.871094,20821939
2020-01-31,57800.000000,58400.000000,56400.000000,56400.000000,51677.847656,19749457
2020-02-03,55500.000000,57400.000000,55200.000000,57200.000000,52410.871094,23995260
2020-02-04,57100.000000,59000.000000,56800.000000,58900.000000,53968.535156,21800192
2020-02-05,60000.000000,60200.000000,58900.000000,59500.000000,54518.308594,19278165
2020-02-06,60100.000000,61100.000000,59700.000000,61100.000000,55984.339844,14727159
2020-02-07,61100.000000,61200.000000,59700.000000,60400.000000,55342.949219,16402493
2020-02-10,59200.000000,59800.000000,59100.000000,59700.000000,54701.550781,13107121
2020-02-11,59800.000000,60700.000000,59700.000000,59900.000000,54884.812500,11071231
2020-02-12,60300.000000,60700.000000,59700.000000,60500.000000,55434.574219,12904207
2020-02-13,61200.000000,61600.000000,60500.000000,60700.000000,55617.832031,18449775
2020-02-14,60900.000000,61900.000000,60200.000000,61800.000000,56625.734375,13276067
2020-02-17,61600.000000,62000.000000,61200.000000,61500.000000,56350.851563,8740596
2020-02-18,60800.000000,60900.000000,59700.000000,59800.000000,54793.179688,16674266
2020-02-19,59800.000000,60400.000000,59400.000000,60200.000000,55159.699219,12951496
2020-02-20,60700.000000,61300.000000,59600.000000,60000.000000,54976.437500,14591924
2020-02-21,58800.000000,59800.000000,58500.000000,59200.000000,54243.421875,13777393
2020-02-24,57400.000000,58100.000000,56800.000000,56800.000000,52044.367188,25627537
2020-02-25,56200.000000,58000.000000,56200.000000,57900.000000,53052.265625,23885408
2020-02-26,56000.000000,57000.000000,56000.000000,56500.000000,51769.484375,25483102
2020-02-27,56300.000000,56900.000000,55500.000000,55900.000000,51219.714844,23209541
2020-02-28,55000.000000,55500.000000,54200.000000,54200.000000,49662.054688,30054227
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,50395.066406,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,50761.585938,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,52594.128906,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,52960.632813,21698990
2020-03-06,56500.000000,57200.000000,56200.000000,56500.000000,51769.484375,18716656
2020-03-09,56500.000000,56500.000000,56500.000000,56500.000000,51769.484375,0
2020-03-10,53800.000000,54900.000000,53700.000000,54600.000000,50028.558594,32106554
2020-03-11,54300.000000,54400.000000,52000.000000,52100.000000,47737.878906,45707281
2020-03-12,52100.000000,52100.000000,52100.000000,52100.000000,47737.878906,0
2020-03-13,47450.000000,51600.000000,46850.000000,49950.000000,45767.882813,59462933
2020-03-16,50100.000000,50900.000000,48800.000000,48900.000000,44805.808594,33339821
2020-03-17,46900.000000,49650.000000,46700.000000,47300.000000,43339.761719,51218151
2020-03-18,47750.000000,48350.000000,45600.000000,45600.000000,41782.097656,40152623
2020-03-19,46400.000000,46650.000000,42300.000000,42950.000000,39353.972656,56925513
2020-03-20,44150.000000,45500.000000,43550.000000,45400.000000,41598.835938,49730008
2020-03-23,42600.000000,43550.000000,42400.000000,42500.000000,38941.644531,41701626
2020-03-24,43850.000000,46950.000000,43050.000000,46950.000000,43019.062500,49801908
2020-03-25,48950.000000,49600.000000,47150.000000,48650.000000,44576.730469,52735922
2020-03-26,49000.000000,49300.000000,47700.000000,47800.000000,43797.898438,42185129
2020-03-27,49600.000000,49700.000000,46850.000000,48300.000000,44256.035156,39896178
2020-03-30,47050.000000,48350.000000,46550.000000,47850.000000,44167.425781,26797395
2020-03-31,48000.000000,48500.000000,47150.000000,47750.000000,44075.117188,30654261
2020-04-01,47450.000000,47900.000000,45800.000000,45800.000000,42275.191406,27259532
2020-04-02,46200.000000,46850.000000,45350.000000,46800.000000,43198.230469,21621076
2020-04-03,47400.000000,47600.000000,46550.000000,47000.000000,43382.832031,22784682
2020-04-06,47500.000000,48800.000000,47250.000000,48700.000000,44952.003906,23395726
2020-04-07,49650.000000,50200.000000,49000.000000,49600.000000,45782.742188,31524034
2020-04-08,49600.000000,49750.000000,48600.000000,48600.000000,44859.703125,25010314
2020-04-09,49750.000000,49800.000000,48700.000000,49100.000000,45321.214844,22628058
2020-04-10,48950.000000,49250.000000,48650.000000,49250.000000,45459.683594,17839111
2020-04-13,48650.000000,48900.000000,48300.000000,48300.000000,44582.789063,14431800
2020-04-14,48800.000000,49200.000000,48300.000000,49000.000000,45228.917969,14206216
2020-04-16,49350.000000,49350.000000,48550.000000,49000.000000,45228.917969,23349760
2020-04-17,50800.000000,52000.000000,50300.000000,51400.000000,47444.210938,32041675
2020-04-20,51400.000000,51400.000000,50000.000000,50100.000000,46244.257813,21866354
2020-04-21,49400.000000,49700.000000,48700.000000,49250.000000,45459.683594,27407543
2020-04-22,48700.000000,50000.000000,48350.000000,49850.000000,46013.507813,18613864
2020-04-23,50200.000000,50300.000000,49500.000000,49850.000000,46013.507813,18754442
2020-04-24,49650.000000,49750.000000,49000.000000,49350.000000,45551.976563,15618347
2020-04-27,49350.000000,50000.000000,49100.000000,49850.000000,46013.507813,14049471
2020-04-28,49850.000000,50100.000000,49300.000000,50100.000000,46244.257813,16095399
2020-04-29,49900.000000,50500.000000,49600.000000,50000.000000,46151.953125,15604533
2020-05-04,48900.000000,49100.000000,48500.000000,48500.000000,44767.394531,26083749
2020-05-06,49000.000000,49200.000000,48500.000000,49200.000000,45413.523438,18070225
2020-05-07,49200.000000,49300.000000,48700.000000,48800.000000,45044.312500,13884411
2020-05-08,49100.000000,49350.000000,48800.000000,48800.000000,45044.312500,15319700
2020-05-11,48900.000000,49250.000000,48300.000000,48400.000000,44675.089844,16357743
2020-05-12,48400.000000,48500.000000,47550.000000,47900.000000,44213.574219,23433590
2020-05-13,47250.000000,48550.000000,47200.000000,48550.000000,44813.546875,20223277
2020-05-14,47750.000000,48100.000000,47650.000000,48000.000000,44305.875000,19305974
2020-05-15,48400.000000,48450.000000,47700.000000,47850.000000,44167.425781,18463118
2020-05-18,47950.000000,49100.000000,47600.000000,48800.000000,45044.312500,20481981
2020-05-19,50100.000000,50500.000000,49700.000000,50300.000000,46428.867188,25168295
2020-05-20,50000.000000,50200.000000,49800.000000,50000.000000,46151.953125,14896899
2020-05-21,50300.000000,50400.000000,49850.000000,49950.000000,46105.800781,14949266
2020-05-22,49600.000000,49800.000000,48600.000000,48750.000000,44998.164063,19706284
2020-05-25,48750.000000,48900.000000,48450.000000,48850.000000,45090.460938,14337913
2020-05-26,48700.000000,49450.000000,48600.000000,49250.000000,45459.683594,15127490
2020-05-27,48950.000000,50000.000000,48800.000000,49900.000000,46059.660156,19548479
2020-05-28,51100.000000,51200.000000,49900.000000,50400.000000,46521.171875,31309318
2020-05-29,50000.000000,50700.000000,49700.000000,50700.000000,46798.078125,27596961
2020-06-01,50800.000000,51200.000000,50600.000000,51200.000000,47259.601563,16949183
2020-06-02,51000.000000,51500.000000,50800.000000,51400.000000,47444.210938,14247933
2020-06-03,51800.000000,55000.000000,51700.000000,54500.000000,50305.632813,49257814
2020-06-04,55800.000000,57000.000000,54600.000000,54600.000000,50397.937500,40220334
2020-06-05,54400.000000,55900.000000,54000.000000,55500.000000,51228.671875,22743629
2020-06-08,56400.000000,56500.000000,54700.000000,54900.000000,50674.851563,25634965
2020-06-09,55800.000000,56500.000000,54400.000000,55500.000000,51228.671875,23998831
2020-06-10,55100.000000,55900.000000,54900.000000,55400.000000,51136.363281,16742493
2020-06-11,54500.000000,55100.000000,53200.000000,54300.000000,50121.019531,33815123
2020-06-12,52100.000000,52800.000000,51500.000000,52300.000000,48274.941406,26976019
2020-06-15,51400.000000,52000.000000,49900.000000,49900.000000,46059.660156,28772921
2020-06-16,51200.000000,52100.000000,50600.000000,52100.000000,48090.339844,21808375
2020-06-17,52100.000000,52900.000000,51300.000000,52200.000000,48182.644531,26672595
2020-06-18,52200.000000,52300.000000,51600.000000,52300.000000,48274.941406,15982926
2020-06-19,52600.000000,52900.000000,51600.000000,52900.000000,48828.773438,18157985
2020-06-22,52000.000000,52600.000000,51800.000000,52000.000000,47998.031250,13801350
2020-06-23,52500.000000,52800.000000,51100.000000,51400.000000,47444.210938,18086152
2020-06-24,51900.000000,53900.000000,51600.000000,52900.000000,48828.773438,24519552
2020-06-25,52100.000000,53000.000000,51900.000000,51900.000000,47905.722656,18541624
2020-06-26,52800.000000,53900.000000,52200.000000,53300.000000,49197.984375,21575360
2020-06-29,52500.000000,53200.000000,52000.000000,52400.000000,48690.632813,17776925
2020-06-30,53900.000000,53900.000000,52800.000000,52800.000000,49062.316406,21157172
2020-07-01,53400.000000,53600.000000,52400.000000,52600.000000,48876.472656,16706143
2020-07-02,52100.000000,52900.000000,52100.000000,52900.000000,49155.242188,14142583
2020-07-03,53000.000000,53600.000000,52700.000000,53600.000000,49805.687500,11887868
2020-07-06,54000.000000,55000.000000,53800.000000,55000.000000,51106.578125,19856623
2020-07-07,55800.000000,55900.000000,53400.000000,53400.000000,49619.847656,30760032
2020-07-08,53600.000000,53900.000000,52900.000000,53000.000000,49248.164063,19664652
2020-07-09,53200.000000,53600.000000,52800.000000,52800.000000,49062.316406,17054850
2020-07-10,53100.000000,53200.000000,52300.000000,52700.000000,48969.394531,13714746
2020-07-13,53300.000000,53800.000000,53100.000000,53400.000000,49619.847656,12240188
2020-07-14,53700.000000,53800.000000,53200.000000,53800.000000,49991.535156,14269484
2020-07-15,54400.000000,55000.000000,54300.000000,54700.000000,50827.812500,24051450
2020-07-16,54800.000000,54800.000000,53800.000000,53800.000000,49991.535156,16779127
2020-07-17,54200.000000,54700.000000,54100.000000,54400.000000,50549.058594,10096174
2020-07-20,54800.000000,54800.000000,54000.000000,54200.000000,50363.207031,10507530
2020-07-21,55200.000000,55400.000000,54800.000000,55300.000000,51385.343750,18297260
2020-07-22,55300.000000,55500.000000,54700.000000,54700.000000,50827.812500,12885057
2020-07-23,54700.000000,54700.000000,53800.000000,54100.000000,50270.296875,16214932
2020-07-24,54000.000000,54400.000000,53700.000000,54200.000000,50363.207031,10994535
2020-07-27,54300.000000,55700.000000,54300.000000,55600.000000,51664.105469,21054421
2020-07-28,57000.000000,58800.000000,56400.000000,58600.000000,54451.742188,48431566
2020-07-29,60300.000000,60400.000000,58600.000000,59000.000000,54823.421875,36476611
2020-07-30,59700.000000,60100.000000,59000.000000,59000.000000,54823.421875,19285354
2020-07-31,59500.000000,59600.000000,57700.000000,57900.000000,53801.296875,21943345
2020-08-03,57800.000000,57900.000000,56700.000000,56800.000000,52779.160156,21158940
2020-08-04,57200.000000,58100.000000,57000.000000,57300.000000,53243.765625,19419694
2020-08-05,57300.000000,57500.000000,56300.000000,56900.000000,52872.078125,17739706
2020-08-06,57100.000000,58400.000000,57100.000000,58000.000000,53894.214844,21625874
2020-08-07,57900.000000,58400.000000,57100.000000,57500.000000,53429.613281,18751717
2020-08-10,57600.000000,58300.000000,57500.000000,57800.000000,53708.375000,17774291
2020-08-11,58000.000000,59500.000000,57800.000000,58200.000000,54080.054688,24907912
2020-08-12,58200.000000,59000.000000,57700.000000,59000.000000,54823.421875,18573934
2020-08-13,59400.000000,59600.000000,58000.000000,58700.000000,54544.660156,22089460
2020-08-14,58000.000000,58400.000000,57700.000000,58000.000000,53894.214844,15672548
2020-08-18,58900.000000,59900.000000,58000.000000,58400.000000,54265.902344,25307825
2020-08-19,59000.000000,59200.000000,57800.000000,57800.000000,53708.375000,16930719
2020-08-20,57600.000000,57600.000000,55300.000000,55400.000000,51478.269531,30386029
2020-08-21,56200.000000,56900.000000,55800.000000,55900.000000,51942.871094,21142288
2020-08-24,55800.000000,56600.000000,55400.000000,56100.000000,52128.707031,15055896
2020-08-25,56400.000000,56800.000000,56100.000000,56400.000000,52407.480469,14021705
