Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,1.000000,1.030000,1.000000,1.010000,1.010000,8700
2020-01-03,0.990000,1.050000,0.990000,1.000000,1.000000,6400
2020-01-06,0.990000,1.050000,0.990000,1.030000,1.030000,16700
2020-01-07,1.040000,1.050000,1.000000,1.020000,1.020000,38800
2020-01-08,1.030000,1.030000,1.000000,1.030000,1.030000,3700
2020-01-09,1.040000,1.040000,1.010000,1.040000,1.040000,95400
2020-01-10,1.050000,1.250000,1.040000,1.250000,1.250000,316800
2020-01-13,1.250000,1.250000,1.080000,1.090000,1.090000,119900
2020-01-14,1.120000,1.180000,1.090000,1.120000,1.120000,81000
2020-01-15,1.100000,1.130000,1.020000,1.110000,1.110000,77300
2020-01-16,1.110000,1.110000,1.080000,1.100000,1.100000,16700
2020-01-17,1.100000,1.150000,1.100000,1.110000,1.110000,67600
2020-01-21,1.100000,1.140000,1.100000,1.140000,1.140000,14800
2020-01-22,1.110000,1.150000,1.110000,1.120000,1.120000,19800
2020-01-23,1.110000,1.150000,1.110000,1.120000,1.120000,10400
2020-01-24,1.130000,1.150000,1.100000,1.110000,1.110000,19600
2020-01-27,1.100000,1.110000,1.050000,1.060000,1.060000,55900
2020-01-28,1.080000,1.130000,1.060000,1.110000,1.110000,7000
2020-01-29,1.130000,1.130000,1.070000,1.080000,1.080000,11600
2020-01-30,1.110000,1.110000,1.080000,1.110000,1.110000,16500
2020-01-31,1.090000,1.110000,1.070000,1.080000,1.080000,9300
2020-02-03,1.100000,1.110000,1.070000,1.080000,1.080000,23700
2020-02-04,1.080000,1.130000,1.080000,1.120000,1.120000,12600
2020-02-05,1.120000,1.140000,1.100000,1.140000,1.140000,36300
2020-02-06,1.120000,1.200000,1.120000,1.140000,1.140000,46600
2020-02-07,1.140000,1.140000,1.110000,1.120000,1.120000,26400
2020-02-10,1.130000,1.150000,1.100000,1.130000,1.130000,23600
2020-02-11,1.140000,1.200000,1.120000,1.170000,1.170000,15100
2020-02-12,1.140000,1.160000,1.130000,1.140000,1.140000,14100
2020-02-13,1.120000,1.160000,1.120000,1.140000,1.140000,16100
2020-02-14,1.130000,1.150000,1.120000,1.140000,1.140000,41600
2020-02-18,1.160000,1.160000,1.100000,1.130000,1.130000,66700
2020-02-19,1.130000,1.140000,1.070000,1.110000,1.110000,20200
2020-02-20,1.090000,1.090000,1.070000,1.070000,1.070000,22300
2020-02-21,1.080000,1.090000,1.030000,1.090000,1.090000,26600
2020-02-24,1.090000,1.110000,1.030000,1.040000,1.040000,29800
2020-02-25,1.060000,1.060000,1.020000,1.050000,1.050000,21800
2020-02-26,1.050000,1.050000,1.020000,1.030000,1.030000,28800
2020-02-27,1.040000,1.040000,1.000000,1.020000,1.020000,36700
2020-02-28,0.970000,1.020000,0.970000,1.000000,1.000000,22900
2020-03-02,1.000000,1.020000,0.990000,1.010000,1.010000,47100
2020-03-03,1.010000,1.040000,1.000000,1.000000,1.000000,50600
2020-03-04,0.990000,1.050000,0.990000,1.030000,1.030000,14500
2020-03-05,0.990000,1.010000,0.990000,0.990000,0.990000,23200
2020-03-06,1.000000,1.020000,0.990000,1.000000,1.000000,9100
2020-03-09,1.010000,1.020000,0.980000,0.990000,0.990000,119800
2020-03-10,1.010000,1.020000,0.990000,1.010000,1.010000,17100
2020-03-11,1.010000,1.020000,0.990000,0.990000,0.990000,49600
2020-03-12,0.990000,1.010000,0.960000,1.000000,1.000000,71400
2020-03-13,1.000000,1.020000,0.990000,0.990000,0.990000,38300
2020-03-16,0.990000,1.040000,0.970000,1.030000,1.030000,111300
2020-03-17,1.030000,1.030000,0.970000,1.030000,1.030000,61600
2020-03-18,1.020000,1.030000,0.900000,0.900000,0.900000,49700
2020-03-19,0.960000,0.980000,0.950000,0.980000,0.980000,31100
2020-03-20,1.000000,1.000000,0.910000,0.990000,0.990000,67100
2020-03-23,0.990000,1.020000,0.950000,1.010000,1.010000,67400
2020-03-24,1.050000,1.130000,0.970000,1.080000,1.080000,129500
2020-03-25,1.100000,1.100000,0.990000,1.040000,1.040000,138200
2020-03-26,1.020000,1.080000,1.000000,1.070000,1.070000,107100
2020-03-27,1.080000,1.180000,1.020000,1.100000,1.100000,151800
2020-03-30,1.150000,1.160000,1.040000,1.060000,1.060000,69600
2020-03-31,1.070000,1.110000,1.070000,1.110000,1.110000,48600
2020-04-01,1.120000,1.150000,1.060000,1.100000,1.100000,28300
2020-04-02,1.130000,1.130000,1.070000,1.110000,1.110000,45900
2020-04-03,1.100000,1.110000,1.020000,1.080000,1.080000,49600
2020-04-06,1.100000,1.100000,1.030000,1.070000,1.070000,19600
2020-04-07,1.070000,1.130000,1.030000,1.110000,1.110000,36400
2020-04-08,1.100000,1.110000,1.060000,1.090000,1.090000,31400
2020-04-09,1.090000,1.120000,1.050000,1.100000,1.100000,55800
2020-04-13,1.120000,1.140000,1.060000,1.130000,1.130000,43300
2020-04-14,1.150000,1.150000,1.070000,1.130000,1.130000,58900
2020-04-15,1.080000,1.130000,1.060000,1.080000,1.080000,44400
2020-04-16,1.110000,1.110000,1.080000,1.080000,1.080000,16600
2020-04-17,1.050000,1.090000,1.050000,1.070000,1.070000,40200
2020-04-20,1.100000,1.120000,1.090000,1.110000,1.110000,28200
2020-04-21,1.060000,1.100000,1.050000,1.050000,1.050000,22300
2020-04-22,1.100000,1.100000,1.010000,1.030000,1.030000,46800
2020-04-23,1.050000,1.080000,1.020000,1.060000,1.060000,26100
2020-04-24,1.010000,1.070000,1.010000,1.050000,1.050000,22700
2020-04-27,1.030000,1.070000,1.030000,1.050000,1.050000,22100
2020-04-28,1.070000,1.070000,1.000000,1.010000,1.010000,41900
2020-04-29,1.030000,1.060000,1.020000,1.060000,1.060000,39600
2020-04-30,1.060000,1.100000,1.040000,1.100000,1.100000,48100
2020-05-01,1.100000,1.100000,1.050000,1.080000,1.080000,29800
2020-05-04,1.100000,1.120000,1.010000,1.110000,1.110000,17100
2020-05-05,1.110000,1.120000,1.070000,1.100000,1.100000,37300
2020-05-06,1.100000,1.110000,1.080000,1.110000,1.110000,13800
2020-05-07,1.100000,1.110000,1.090000,1.090000,1.090000,24400
2020-05-08,1.100000,1.150000,1.050000,1.140000,1.140000,53200
2020-05-11,1.150000,1.150000,1.100000,1.100000,1.100000,29600
2020-05-12,1.100000,1.180000,1.100000,1.130000,1.130000,19500
2020-05-13,1.100000,1.100000,1.030000,1.090000,1.090000,33500
2020-05-14,1.090000,1.100000,1.060000,1.080000,1.080000,13000
2020-05-15,1.080000,1.090000,1.060000,1.070000,1.070000,7800
2020-05-18,1.090000,1.090000,1.060000,1.090000,1.090000,33900
2020-05-19,1.090000,1.090000,1.070000,1.090000,1.090000,16400
2020-05-20,1.100000,1.140000,1.090000,1.140000,1.140000,35700
2020-05-21,1.140000,1.180000,1.120000,1.160000,1.160000,44800
2020-05-22,1.200000,1.300000,1.150000,1.290000,1.290000,142800
2020-05-26,1.250000,1.250000,1.150000,1.170000,1.170000,97500
2020-05-27,1.160000,1.220000,1.150000,1.180000,1.180000,38500
2020-05-28,1.210000,1.250000,1.160000,1.220000,1.220000,43400
2020-05-29,1.240000,1.250000,1.200000,1.220000,1.220000,33200
2020-06-01,1.240000,1.240000,1.200000,1.230000,1.230000,16300
2020-06-02,1.240000,1.250000,1.210000,1.230000,1.230000,55600
2020-06-03,1.250000,1.250000,1.200000,1.250000,1.250000,78000
2020-06-04,1.250000,1.250000,1.200000,1.240000,1.240000,25300
2020-06-05,1.250000,1.250000,1.200000,1.220000,1.220000,152100
2020-06-08,1.250000,1.480000,1.150000,1.280000,1.280000,322600
2020-06-09,1.310000,1.350000,1.200000,1.240000,1.240000,57300
2020-06-10,1.280000,1.280000,1.220000,1.270000,1.270000,66500
2020-06-11,1.270000,1.270000,1.220000,1.240000,1.240000,38900
2020-06-12,1.240000,1.280000,1.200000,1.220000,1.220000,58200
2020-06-15,1.270000,1.340000,1.200000,1.320000,1.320000,78900
2020-06-16,1.380000,1.450000,1.270000,1.360000,1.360000,77600
2020-06-17,1.440000,1.440000,1.280000,1.330000,1.330000,66100
2020-06-18,1.330000,1.380000,1.320000,1.330000,1.330000,31000
2020-06-19,1.420000,1.500000,1.380000,1.470000,1.470000,210800
2020-06-22,1.500000,1.500000,1.270000,1.340000,1.340000,134300
2020-06-23,1.430000,1.430000,1.340000,1.350000,1.350000,33500
2020-06-24,1.390000,1.390000,1.280000,1.370000,1.370000,82700
2020-06-25,1.390000,1.390000,1.330000,1.380000,1.380000,25200
2020-06-26,1.380000,1.380000,1.290000,1.300000,1.300000,22700
2020-06-29,1.260000,1.340000,1.260000,1.280000,1.280000,96500
2020-06-30,1.290000,1.330000,1.270000,1.300000,1.300000,16100
2020-07-01,1.300000,1.330000,1.270000,1.310000,1.310000,15700
